27;29
9;31
4;32
8;49
21;84
34;125
13;127
17;128
2;146
13;164
20;171
315;172
14;179
227;222
44;223
15;224
46;242
12;244
6;267
32;275
66;317
59;318
49;319
31;320
12;337
8;340
6;368
7;374
55;413
20;414
8;415
14;416
6;433
633;434
9;452
21;463
10;487
7;489
21;509
2;510
3;512
19;515
24;516
28;541
50;542
49;547
26;572
211;605
41;607
102;608
25;609
24;611
14;612
20;632
14;640
181;641
1;649
19;651
26;655
3;664
246;701
23;702
6;721
13;724
22;749
25;753
21;754
6;797
44;798
105;800
23;819
13;825
6;844
9;852
1;856
30;893
20;894
146;895
15;899
9;914
8;916
156;939
26;940
21;989
8;991
149;992
11;1005
28;1009
2;1012
27;1018
14;1046
37;1087
169;1088
12;1098
3;1100
22;1121
4;1131
4;1138
3;1140
17;1180
5;1182
152;1183
24;1184
20;1212
6;1213
44;1234
8;1241
164;1255
40;1281
38;1282
15;1283
12;1286
10;1300
25;1310
23;1311
13;1323
5;1335
20;1336
18;1340
31;1373
167;1374
5;1375
16;1376
27;1384
6;1391
17;1393
11;1394
5;1395
47;1469
66;1471
11;1472
27;1489
20;1490
8;1498
20;1528
189;1565
17;1566
7;1568
20;1586
13;1588
6;1601
29;1614
23;1616
11;1661
8;1662
41;1663
31;1664
7;1681
149;1713
36;1757
26;1758
43;1759
35;1760
12;1761
8;1762
60;1780
24;1810
18;1816
13;1852
6;1857
16;1860
26;1862
5;1866
19;1869
12;1872
6;1885
12;1886
35;1887
13;1889
16;1910
29;1914
177;1949
50;1951
3;1952
20;1953
58;1954
160;1955
162;1956
21;1973
26;1981
13;1982
18;1988
3;1998
7;2004
160;2006
22;2008
43;2045
17;2046
167;2047
9;2048
189;2065
30;2089
17;2094
60;2141
69;2142
48;2143
1;2144
41;2148
15;2162
30;2163
19;2199
21;2237
52;2238
19;2240
3;2250
2;2257
21;2258
6;2260
11;2269
5;2288
26;2294
165;2335
31;2336
5;2377
12;2380
2;2382
30;2392
9;2429
13;2431
28;2482
171;2525
27;2527
30;2530
66;2531
24;2534
5;2542
19;2548
3;2549
26;2557
22;2560
48;2561
22;2562
16;2584
5;2586
31;2622
9;2623
22;2625
4;2626
168;2627
20;2628
26;2640
153;2644
5;2658
25;2659
2;2676
2;2682
2;2683
44;2684
53;2717
62;2718
24;2719
23;2720
159;2739
7;2749
1;2761
24;2762
11;2770
68;2813
49;2814
153;2815
39;2816
27;2834
16;2864
13;2866
8;2867
19;2872
163;2909
24;2912
16;2927
172;2929
17;2931
4;2953
9;2955
25;2968
26;2983
30;3005
3;3006
34;3007
48;3008
38;3025
25;3026
16;3027
