# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 240         4.790       52.318      -3.30       Schiphol    
# FF        : Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur / Mean wind speed (in 0.1 m/s) during the 10-minute period preceding the time of observation
# Q         : Globale straling (in J/cm2) per uurvak / Global radiation (in J/cm2) during the hourly division
# STN,YYYYMMDD,H,   FF,    Q
  240,20210106,   15,   30,   11
  240,20210106,   16,   20,    3
  240,20210106,   17,   20,    0
  240,20210106,   18,   20,    0
  240,20210106,   19,   30,    0
  240,20210106,   20,   10,    0
  240,20210106,   21,   20,    0
  240,20210106,   22,   20,    0
  240,20210106,   23,   20,    0
  240,20210106,   24,   20,    0
  240,20210107,    1,   30,    0
  240,20210107,    2,   30,    0
  240,20210107,    3,   30,    0
  240,20210107,    4,   20,    0
  240,20210107,    5,   30,    0
  240,20210107,    6,   20,    0
  240,20210107,    7,   30,    0
  240,20210107,    8,   50,    0
  240,20210107,    9,   40,    5
  240,20210107,   10,   30,   16
  240,20210107,   11,   30,   31
  240,20210107,   12,   60,   35
  240,20210107,   13,   50,   21
  240,20210107,   14,   70,   12
  240,20210107,   15,   70,   13
  240,20210107,   16,   60,    2
  240,20210107,   17,   50,    0
  240,20210107,   18,   50,    0
  240,20210107,   19,   60,    0
  240,20210107,   20,   80,    0
  240,20210107,   21,   40,    0
  240,20210107,   22,   40,    0
  240,20210107,   23,   20,    0
  240,20210107,   24,   20,    0
  240,20210108,    1,   20,    0
  240,20210108,    2,   30,    0
  240,20210108,    3,   20,    0
  240,20210108,    4,   20,    0
  240,20210108,    5,   20,    0
  240,20210108,    6,   10,    0
  240,20210108,    7,   10,    0
  240,20210108,    8,   10,    0
  240,20210108,    9,   20,   13
  240,20210108,   10,   20,   35
  240,20210108,   11,   30,   60
  240,20210108,   12,   30,   42
  240,20210108,   13,   20,   52
  240,20210108,   14,   20,   75
  240,20210108,   15,   10,   20
  240,20210108,   16,   10,    6
  240,20210108,   17,   20,    0
  240,20210108,   18,   20,    0
  240,20210108,   19,   10,    0
  240,20210108,   20,   20,    0
  240,20210108,   21,    0,    0
  240,20210108,   22,    0,    0
  240,20210108,   23,   10,    0
  240,20210108,   24,   10,    0
  240,20210109,    1,   10,    0
  240,20210109,    2,   10,    0
  240,20210109,    3,   10,    0
  240,20210109,    4,    0,    0
  240,20210109,    5,   10,    0
  240,20210109,    6,   10,    0
  240,20210109,    7,   20,    0
  240,20210109,    8,   10,    1
  240,20210109,    9,   10,   11
  240,20210109,   10,   20,   50
  240,20210109,   11,   20,   82
  240,20210109,   12,   20,   77
  240,20210109,   13,   40,   69
  240,20210109,   14,   40,   49
  240,20210109,   15,   10,   24
  240,20210109,   16,   40,    5
  240,20210109,   17,   30,    0
  240,20210109,   18,   20,    0
  240,20210109,   19,   20,    0
  240,20210109,   20,   10,    0
  240,20210109,   21,   10,    0
  240,20210109,   22,   10,    0
  240,20210109,   23,   10,    0
  240,20210109,   24,   20,    0
  240,20210110,    1,   10,    0
  240,20210110,    2,   10,    0
  240,20210110,    3,   30,    0
  240,20210110,    4,   30,    0
  240,20210110,    5,   30,    0
  240,20210110,    6,   40,    0
  240,20210110,    7,   30,    0
  240,20210110,    8,   40,    1
  240,20210110,    9,   30,   14
  240,20210110,   10,   30,   52
  240,20210110,   11,   40,   64
  240,20210110,   12,   50,   31
  240,20210110,   13,   50,   15
  240,20210110,   14,   50,   13
  240,20210110,   15,   40,    7
  240,20210110,   16,   50,    2
  240,20210110,   17,   40,    0
  240,20210110,   18,   50,    0
  240,20210110,   19,   40,    0
  240,20210110,   20,   40,    0
  240,20210110,   21,   40,    0
  240,20210110,   22,   50,    0
  240,20210110,   23,   60,    0
  240,20210110,   24,   50,    0
  240,20210111,    1,   50,    0
  240,20210111,    2,   60,    0
  240,20210111,    3,   50,    0
  240,20210111,    4,   50,    0
  240,20210111,    5,   60,    0
  240,20210111,    6,   60,    0
  240,20210111,    7,   60,    0
  240,20210111,    8,   60,    0
  240,20210111,    9,   60,    2
  240,20210111,   10,   50,    4
  240,20210111,   11,   80,   10
  240,20210111,   12,   70,   17
  240,20210111,   13,   90,   14
  240,20210111,   14,   90,   15
  240,20210111,   15,   80,   10
  240,20210111,   16,   80,    2
  240,20210111,   17,   80,    0
  240,20210111,   18,  100,    0
  240,20210111,   19,  100,    0
  240,20210111,   20,  100,    0
  240,20210111,   21,   80,    0
  240,20210111,   22,  100,    0
  240,20210111,   23,  100,    0
  240,20210111,   24,  100,    0
  240,20210112,    1,   90,    0
  240,20210112,    2,  100,    0
  240,20210112,    3,  100,    0
  240,20210112,    4,   90,    0
  240,20210112,    5,   60,    0
  240,20210112,    6,   60,    0
  240,20210112,    7,   60,    0
  240,20210112,    8,   50,    1
  240,20210112,    9,   50,   10
  240,20210112,   10,   60,   23
  240,20210112,   11,   80,   63
  240,20210112,   12,   70,   67
  240,20210112,   13,   70,   89
  240,20210112,   14,   80,   52
  240,20210112,   15,   70,   31
  240,20210112,   16,   60,    5
  240,20210112,   17,   40,    0
  240,20210112,   18,   30,    0
  240,20210112,   19,   30,    0
  240,20210112,   20,   40,    0
  240,20210112,   21,   40,    0
  240,20210112,   22,   30,    0
  240,20210112,   23,   40,    0
  240,20210112,   24,   60,    0
  240,20210113,    1,   40,    0
  240,20210113,    2,   90,    0
  240,20210113,    3,   70,    0
  240,20210113,    4,   70,    0
  240,20210113,    5,   70,    0
  240,20210113,    6,   60,    0
  240,20210113,    7,   70,    0
  240,20210113,    8,   60,    1
  240,20210113,    9,   60,   15
  240,20210113,   10,   70,   32
  240,20210113,   11,   80,   78
  240,20210113,   12,   80,   77
  240,20210113,   13,   90,   89
  240,20210113,   14,   60,   50
  240,20210113,   15,   70,   18
  240,20210113,   16,   60,    3
  240,20210113,   17,   50,    0
  240,20210113,   18,   40,    0
  240,20210113,   19,   60,    0
  240,20210113,   20,   50,    0
  240,20210113,   21,   20,    0
  240,20210113,   22,   50,    0
  240,20210113,   23,   20,    0
  240,20210113,   24,   10,    0
  240,20210114,    1,   20,    0
  240,20210114,    2,   20,    0
  240,20210114,    3,   10,    0
  240,20210114,    4,   10,    0
  240,20210114,    5,   20,    0
  240,20210114,    6,   20,    0
  240,20210114,    7,   20,    0
  240,20210114,    8,   30,    1
  240,20210114,    9,   30,   10
  240,20210114,   10,   40,   27
  240,20210114,   11,   50,   42
  240,20210114,   12,   50,   41
  240,20210114,   13,   50,   44
  240,20210114,   14,   60,   38
  240,20210114,   15,   60,   25
  240,20210114,   16,   70,    5
  240,20210114,   17,   60,    0
  240,20210114,   18,   60,    0
  240,20210114,   19,   50,    0
  240,20210114,   20,   50,    0
  240,20210114,   21,   50,    0
  240,20210114,   22,   40,    0
  240,20210114,   23,   50,    0
  240,20210114,   24,   50,    0
  240,20210115,    1,   60,    0
  240,20210115,    2,   40,    0
  240,20210115,    3,   40,    0
  240,20210115,    4,   20,    0
  240,20210115,    5,   30,    0
  240,20210115,    6,   30,    0
  240,20210115,    7,   20,    0
  240,20210115,    8,   20,    0
  240,20210115,    9,   20,    3
  240,20210115,   10,   10,   10
  240,20210115,   11,   10,   12
  240,20210115,   12,   30,   17
  240,20210115,   13,   20,   17
  240,20210115,   14,   10,   12
  240,20210115,   15,   10,   10
  240,20210115,   16,   10,    3
  240,20210115,   17,    0,    0
  240,20210115,   18,   20,    0
  240,20210115,   19,   10,    0
  240,20210115,   20,   20,    0
  240,20210115,   21,   10,    0
  240,20210115,   22,   20,    0
  240,20210115,   23,   30,    0
  240,20210115,   24,   20,    0
  240,20210116,    1,   30,    0
  240,20210116,    2,   10,    0
  240,20210116,    3,   30,    0
  240,20210116,    4,   40,    0
  240,20210116,    5,   50,    0
  240,20210116,    6,   50,    0
  240,20210116,    7,   50,    0
  240,20210116,    8,   60,    1
  240,20210116,    9,   60,    8
  240,20210116,   10,   60,   21
  240,20210116,   11,   80,   25
  240,20210116,   12,   70,   21
  240,20210116,   13,   70,   17
  240,20210116,   14,   90,    9
  240,20210116,   15,   80,    6
  240,20210116,   16,   80,    4
  240,20210116,   17,   70,    0
  240,20210116,   18,   70,    0
  240,20210116,   19,   60,    0
  240,20210116,   20,   60,    0
  240,20210116,   21,   50,    0
  240,20210116,   22,   40,    0
  240,20210116,   23,   40,    0
  240,20210116,   24,   40,    0
  240,20210117,    1,   40,    0
  240,20210117,    2,   30,    0
  240,20210117,    3,   30,    0
  240,20210117,    4,   10,    0
  240,20210117,    5,   20,    0
  240,20210117,    6,   10,    0
  240,20210117,    7,   30,    0
  240,20210117,    8,   30,    1
  240,20210117,    9,   30,   11
  240,20210117,   10,   50,   33
  240,20210117,   11,   40,   48
  240,20210117,   12,   50,   80
  240,20210117,   13,   70,   93
  240,20210117,   14,   60,   34
  240,20210117,   15,   60,   25
  240,20210117,   16,   40,    5
  240,20210117,   17,   30,    0
  240,20210117,   18,   30,    0
  240,20210117,   19,   40,    0
  240,20210117,   20,   40,    0
  240,20210117,   21,   40,    0
  240,20210117,   22,   40,    0
  240,20210117,   23,   40,    0
  240,20210117,   24,   40,    0
  240,20210118,    1,   30,    0
  240,20210118,    2,   30,    0
  240,20210118,    3,   40,    0
  240,20210118,    4,   40,    0
  240,20210118,    5,   50,    0
  240,20210118,    6,   40,    0
  240,20210118,    7,   40,    0
  240,20210118,    8,   60,    0
  240,20210118,    9,   70,   10
  240,20210118,   10,   70,   25
  240,20210118,   11,   80,   32
  240,20210118,   12,   90,   37
  240,20210118,   13,   70,   27
  240,20210118,   14,   70,   17
  240,20210118,   15,   70,   17
  240,20210118,   16,   60,    3
  240,20210118,   17,   70,    0
  240,20210118,   18,   50,    0
  240,20210118,   19,   40,    0
  240,20210118,   20,   50,    0
  240,20210118,   21,   50,    0
  240,20210118,   22,   80,    0
  240,20210118,   23,   70,    0
  240,20210118,   24,   90,    0
  240,20210119,    1,   90,    0
  240,20210119,    2,   90,    0
  240,20210119,    3,  100,    0
  240,20210119,    4,  100,    0
  240,20210119,    5,  110,    0
  240,20210119,    6,  100,    0
  240,20210119,    7,  100,    0
  240,20210119,    8,  100,    0
  240,20210119,    9,  140,    4
  240,20210119,   10,  100,    8
  240,20210119,   11,  100,   15
  240,20210119,   12,  120,   14
  240,20210119,   13,  120,   23
  240,20210119,   14,  110,   18
  240,20210119,   15,  120,   15
  240,20210119,   16,  130,    4
  240,20210119,   17,  120,    0
  240,20210119,   18,  130,    0
  240,20210119,   19,  120,    0
  240,20210119,   20,  110,    0
  240,20210119,   21,  100,    0
  240,20210119,   22,  100,    0
  240,20210119,   23,  100,    0
  240,20210119,   24,  100,    0
  240,20210120,    1,  100,    0
  240,20210120,    2,   90,    0
  240,20210120,    3,  110,    0
  240,20210120,    4,  100,    0
  240,20210120,    5,  100,    0
  240,20210120,    6,  110,    0
  240,20210120,    7,  100,    0
  240,20210120,    8,  110,    1
  240,20210120,    9,  100,   10
  240,20210120,   10,  100,   15
  240,20210120,   11,  100,   30
  240,20210120,   12,  110,   39
  240,20210120,   13,   80,   23
  240,20210120,   14,   70,   28
  240,20210120,   15,   90,   20
  240,20210120,   16,   90,    7
  240,20210120,   17,   90,    0
  240,20210120,   18,   80,    0
  240,20210120,   19,   80,    0
  240,20210120,   20,  120,    0
  240,20210120,   21,  120,    0
  240,20210120,   22,   90,    0
  240,20210120,   23,   90,    0
  240,20210120,   24,   90,    0
  240,20210121,    1,  120,    0
  240,20210121,    2,  120,    0
  240,20210121,    3,  150,    0
  240,20210121,    4,  140,    0
  240,20210121,    5,  150,    0
  240,20210121,    6,  120,    0
  240,20210121,    7,  120,    0
  240,20210121,    8,  100,    2
  240,20210121,    9,  110,   22
  240,20210121,   10,  100,   44
  240,20210121,   11,  120,   44
  240,20210121,   12,  120,   40
  240,20210121,   13,  140,   79
  240,20210121,   14,  120,   54
  240,20210121,   15,  120,   29
  240,20210121,   16,  100,    7
  240,20210121,   17,   60,    0
  240,20210121,   18,   70,    0
  240,20210121,   19,   90,    0
  240,20210121,   20,   50,    0
  240,20210121,   21,   30,    0
  240,20210121,   22,   10,    0
  240,20210121,   23,   30,    0
  240,20210121,   24,   40,    0
  240,20210122,    1,   60,    0
  240,20210122,    2,   40,    0
  240,20210122,    3,   60,    0
  240,20210122,    4,   70,    0
  240,20210122,    5,   70,    0
  240,20210122,    6,   60,    0
  240,20210122,    7,   50,    0
  240,20210122,    8,   60,    1
  240,20210122,    9,   70,   13
  240,20210122,   10,   70,   47
  240,20210122,   11,   90,   69
  240,20210122,   12,   80,   97
  240,20210122,   13,   80,   73
  240,20210122,   14,   70,   59
  240,20210122,   15,   70,   38
  240,20210122,   16,   50,   11
  240,20210122,   17,   40,    0
  240,20210122,   18,   30,    0
  240,20210122,   19,   40,    0
  240,20210122,   20,   40,    0
  240,20210122,   21,   20,    0
  240,20210122,   22,   30,    0
  240,20210122,   23,   30,    0
  240,20210122,   24,   30,    0
  240,20210123,    1,   30,    0
  240,20210123,    2,   40,    0
  240,20210123,    3,   50,    0
  240,20210123,    4,   50,    0
  240,20210123,    5,   50,    0
  240,20210123,    6,   60,    0
  240,20210123,    7,   60,    0
  240,20210123,    8,   70,    0
  240,20210123,    9,   50,   22
  240,20210123,   10,   50,   43
  240,20210123,   11,   40,   41
  240,20210123,   12,   40,   67
  240,20210123,   13,   50,   57
  240,20210123,   14,   40,   38
  240,20210123,   15,   20,   26
  240,20210123,   16,   10,    8
  240,20210123,   17,   20,    0
  240,20210123,   18,   20,    0
  240,20210123,   19,   10,    0
  240,20210123,   20,    0,    0
  240,20210123,   21,   10,    0
  240,20210123,   22,   10,    0
  240,20210123,   23,   10,    0
  240,20210123,   24,   10,    0
  240,20210124,    1,   20,    0
  240,20210124,    2,   20,    0
  240,20210124,    3,   20,    0
  240,20210124,    4,   20,    0
  240,20210124,    5,   20,    0
  240,20210124,    6,   20,    0
  240,20210124,    7,   30,    0
  240,20210124,    8,   20,    1
  240,20210124,    9,   10,   33
  240,20210124,   10,   10,   51
  240,20210124,   11,   30,   82
  240,20210124,   12,   40,   99
  240,20210124,   13,   50,   58
  240,20210124,   14,   30,   37
  240,20210124,   15,   30,   16
  240,20210124,   16,   30,    7
  240,20210124,   17,   30,    0
  240,20210124,   18,   30,    0
  240,20210124,   19,   30,    0
  240,20210124,   20,   30,    0
  240,20210124,   21,   30,    0
  240,20210124,   22,   30,    0
  240,20210124,   23,   20,    0
  240,20210124,   24,   20,    0
  240,20210125,    1,   20,    0
  240,20210125,    2,   20,    0
  240,20210125,    3,   20,    0
  240,20210125,    4,   20,    0
  240,20210125,    5,   10,    0
  240,20210125,    6,   20,    0
  240,20210125,    7,   20,    0
  240,20210125,    8,   10,    3
  240,20210125,    9,   10,   49
  240,20210125,   10,   10,   79
  240,20210125,   11,   30,   91
  240,20210125,   12,   50,  109
  240,20210125,   13,   50,  107
  240,20210125,   14,   60,   83
  240,20210125,   15,   60,   25
  240,20210125,   16,   70,    8
  240,20210125,   17,   70,    0
  240,20210125,   18,   90,    0
  240,20210125,   19,   70,    0
  240,20210125,   20,   90,    0
  240,20210125,   21,   90,    0
  240,20210125,   22,   90,    0
  240,20210125,   23,   90,    0
  240,20210125,   24,   90,    0
  240,20210126,    1,   90,    0
  240,20210126,    2,   80,    0
  240,20210126,    3,   90,    0
  240,20210126,    4,   90,    0
  240,20210126,    5,   90,    0
  240,20210126,    6,   80,    0
  240,20210126,    7,   50,    0
  240,20210126,    8,   40,    2
  240,20210126,    9,   40,   21
  240,20210126,   10,   40,   40
  240,20210126,   11,   40,   62
  240,20210126,   12,   40,   34
  240,20210126,   13,   50,   59
  240,20210126,   14,   70,   58
  240,20210126,   15,   50,   37
  240,20210126,   16,   50,   11
  240,20210126,   17,   40,    1
  240,20210126,   18,   40,    0
  240,20210126,   19,   50,    0
  240,20210126,   20,   50,    0
  240,20210126,   21,   50,    0
  240,20210126,   22,   50,    0
  240,20210126,   23,   60,    0
  240,20210126,   24,   60,    0
  240,20210127,    1,   70,    0
  240,20210127,    2,   80,    0
  240,20210127,    3,   80,    0
  240,20210127,    4,   90,    0
  240,20210127,    5,   70,    0
  240,20210127,    6,   70,    0
  240,20210127,    7,   70,    0
  240,20210127,    8,   60,    1
  240,20210127,    9,   60,    5
  240,20210127,   10,   30,   10
  240,20210127,   11,   50,   17
  240,20210127,   12,   40,   23
  240,20210127,   13,   40,   33
  240,20210127,   14,   70,   26
  240,20210127,   15,   50,   16
  240,20210127,   16,   50,    3
  240,20210127,   17,   50,    0
  240,20210127,   18,   50,    0
  240,20210127,   19,   40,    0
  240,20210127,   20,   40,    0
  240,20210127,   21,   30,    0
  240,20210127,   22,   40,    0
  240,20210127,   23,   10,    0
  240,20210127,   24,   20,    0
  240,20210128,    1,    0,    0
  240,20210128,    2,   10,    0
  240,20210128,    3,   10,    0
  240,20210128,    4,   20,    0
  240,20210128,    5,   20,    0
  240,20210128,    6,   40,    0
  240,20210128,    7,   50,    0
  240,20210128,    8,   40,    0
  240,20210128,    9,   50,    3
  240,20210128,   10,   50,    7
  240,20210128,   11,   50,   16
  240,20210128,   12,   50,   25
  240,20210128,   13,   40,   14
  240,20210128,   14,   40,   14
  240,20210128,   15,   30,   12
  240,20210128,   16,   30,    3
  240,20210128,   17,   40,    1
  240,20210128,   18,   40,    0
  240,20210128,   19,   40,    0
  240,20210128,   20,   40,    0
  240,20210128,   21,   50,    0
  240,20210128,   22,   50,    0
  240,20210128,   23,   40,    0
  240,20210128,   24,   30,    0
  240,20210129,    1,   40,    0
  240,20210129,    2,   50,    0
  240,20210129,    3,   40,    0
  240,20210129,    4,   40,    0
  240,20210129,    5,   50,    0
  240,20210129,    6,   90,    0
  240,20210129,    7,   90,    0
  240,20210129,    8,  110,    1
  240,20210129,    9,  110,    7
  240,20210129,   10,  110,   30
  240,20210129,   11,  100,   62
  240,20210129,   12,  100,   58
  240,20210129,   13,  100,   49
  240,20210129,   14,  100,   44
  240,20210129,   15,  100,   25
  240,20210129,   16,   90,   12
  240,20210129,   17,  120,    1
  240,20210129,   18,   90,    0
  240,20210129,   19,  100,    0
  240,20210129,   20,   70,    0
  240,20210129,   21,   50,    0
  240,20210129,   22,   50,    0
  240,20210129,   23,   40,    0
  240,20210129,   24,   50,    0
  240,20210130,    1,   40,    0
  240,20210130,    2,   50,    0
  240,20210130,    3,   70,    0
  240,20210130,    4,   50,    0
  240,20210130,    5,   50,    0
  240,20210130,    6,   60,    0
  240,20210130,    7,   70,    0
  240,20210130,    8,   80,    2
  240,20210130,    9,   80,   17
  240,20210130,   10,   80,   37
  240,20210130,   11,   70,   39
  240,20210130,   12,   70,   56
  240,20210130,   13,   70,   48
  240,20210130,   14,   80,   30
  240,20210130,   15,   70,   17
  240,20210130,   16,   80,   11
  240,20210130,   17,   80,    2
  240,20210130,   18,   70,    0
  240,20210130,   19,   80,    0
  240,20210130,   20,   60,    0
  240,20210130,   21,   60,    0
  240,20210130,   22,   50,    0
  240,20210130,   23,   60,    0
  240,20210130,   24,   50,    0
  240,20210131,    1,   50,    0
  240,20210131,    2,   50,    0
  240,20210131,    3,   40,    0
  240,20210131,    4,   50,    0
  240,20210131,    5,   50,    0
  240,20210131,    6,   50,    0
  240,20210131,    7,   40,    0
  240,20210131,    8,   30,    6
  240,20210131,    9,   30,   28
  240,20210131,   10,   30,   68
  240,20210131,   11,   40,   78
  240,20210131,   12,   60,  107
  240,20210131,   13,   60,  109
  240,20210131,   14,   50,   99
  240,20210131,   15,   40,   58
  240,20210131,   16,   40,   17
  240,20210131,   17,   50,    1
  240,20210131,   18,   60,    0
  240,20210131,   19,   60,    0
  240,20210131,   20,   60,    0
  240,20210131,   21,   50,    0
  240,20210131,   22,   60,    0
  240,20210131,   23,   50,    0
  240,20210131,   24,   40,    0
  240,20210201,    1,   50,    0
  240,20210201,    2,   50,    0
  240,20210201,    3,   40,    0
  240,20210201,    4,   40,    0
  240,20210201,    5,   40,    0
  240,20210201,    6,   40,    0
  240,20210201,    7,   30,    0
  240,20210201,    8,   40,    2
  240,20210201,    9,   40,   12
  240,20210201,   10,   40,   19
  240,20210201,   11,   30,   25
  240,20210201,   12,   20,   28
  240,20210201,   13,   20,   29
  240,20210201,   14,   30,   26
  240,20210201,   15,   30,   19
  240,20210201,   16,   20,    8
  240,20210201,   17,   30,    2
  240,20210201,   18,   40,    0
  240,20210201,   19,   20,    0
  240,20210201,   20,   10,    0
  240,20210201,   21,   20,    0
  240,20210201,   22,   10,    0
  240,20210201,   23,   20,    0
  240,20210201,   24,   20,    0
  240,20210202,    1,   10,    0
  240,20210202,    2,   20,    0
  240,20210202,    3,   20,    0
  240,20210202,    4,   40,    0
  240,20210202,    5,   30,    0
  240,20210202,    6,   30,    0
  240,20210202,    7,   40,    0
  240,20210202,    8,   40,    2
  240,20210202,    9,   50,   10
  240,20210202,   10,   60,   21
  240,20210202,   11,   50,   25
  240,20210202,   12,   50,   24
  240,20210202,   13,   40,   25
  240,20210202,   14,   40,   21
  240,20210202,   15,   30,   15
  240,20210202,   16,   30,    7
  240,20210202,   17,   20,    1
  240,20210202,   18,   50,    0
  240,20210202,   19,   40,    0
  240,20210202,   20,   20,    0
  240,20210202,   21,   40,    0
  240,20210202,   22,   40,    0
  240,20210202,   23,   40,    0
  240,20210202,   24,   40,    0
