# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 330         4.122       51.992      11.90       Hoek van Holland
# 356         5.146       51.859      0.70        Herwijnen   
# 377         5.763       51.198      30.00       Ell         
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
# STN,YYYYMMDD,   HH,   FH
  356,20230101,    1,  110
  356,20230101,    2,  100
  356,20230101,    3,   90
  356,20230101,    4,   90
  356,20230101,    5,   80
  356,20230101,    6,  100
  356,20230101,    7,   80
  356,20230101,    8,   70
  356,20230101,    9,   60
  356,20230101,   10,   60
  356,20230101,   11,   60
  356,20230101,   12,   50
  356,20230101,   13,   60
  356,20230101,   14,   40
  356,20230101,   15,   20
  356,20230101,   16,   30
  356,20230101,   17,   40
  356,20230101,   18,   30
  356,20230101,   19,   50
  356,20230101,   20,   50
  356,20230101,   21,   40
  356,20230101,   22,   30
  356,20230101,   23,   40
  356,20230101,   24,   40
  356,20230102,    1,   40
  356,20230102,    2,   40
  356,20230102,    3,   60
  356,20230102,    4,   70
  356,20230102,    5,   70
  356,20230102,    6,   80
  356,20230102,    7,   60
  356,20230102,    8,   60
  356,20230102,    9,   60
  356,20230102,   10,   60
  356,20230102,   11,   50
  356,20230102,   12,   50
  356,20230102,   13,   50
  356,20230102,   14,   50
  356,20230102,   15,   50
  356,20230102,   16,   50
  356,20230102,   17,   50
  356,20230102,   18,   30
  356,20230102,   19,   30
  356,20230102,   20,   30
  356,20230102,   21,   30
  356,20230102,   22,   30
  356,20230102,   23,   30
  356,20230102,   24,   30
  356,20230103,    1,   30
  356,20230103,    2,   20
  356,20230103,    3,   20
  356,20230103,    4,   30
  356,20230103,    5,   30
  356,20230103,    6,   30
  356,20230103,    7,   30
  356,20230103,    8,   30
  356,20230103,    9,   40
  356,20230103,   10,   40
  356,20230103,   11,   50
  356,20230103,   12,   50
  356,20230103,   13,   50
  356,20230103,   14,   50
  356,20230103,   15,   50
  356,20230103,   16,   50
  356,20230103,   17,   50
  356,20230103,   18,   60
  356,20230103,   19,   70
  356,20230103,   20,   70
  356,20230103,   21,   70
  356,20230103,   22,   80
  356,20230103,   23,   80
  356,20230103,   24,   80
  356,20230104,    1,   80
  356,20230104,    2,  100
  356,20230104,    3,   90
  356,20230104,    4,  100
  356,20230104,    5,  100
  356,20230104,    6,  100
  356,20230104,    7,  100
  356,20230104,    8,  100
  356,20230104,    9,  110
  356,20230104,   10,  100
  356,20230104,   11,  100
  356,20230104,   12,  110
  356,20230104,   13,  100
  356,20230104,   14,  100
  356,20230104,   15,  110
  356,20230104,   16,  110
  356,20230104,   17,   90
  356,20230104,   18,  100
  356,20230104,   19,  100
  356,20230104,   20,  100
  356,20230104,   21,  110
  356,20230104,   22,  100
  356,20230104,   23,   90
  356,20230104,   24,   80
  356,20230105,    1,   70
  356,20230105,    2,   80
  356,20230105,    3,   80
  356,20230105,    4,   70
  356,20230105,    5,   80
  356,20230105,    6,   70
  356,20230105,    7,   70
  356,20230105,    8,   60
  356,20230105,    9,   50
  356,20230105,   10,   50
  356,20230105,   11,   50
  356,20230105,   12,   60
  356,20230105,   13,   60
  356,20230105,   14,   50
  356,20230105,   15,   50
  356,20230105,   16,   40
  356,20230105,   17,   30
  356,20230105,   18,   40
  356,20230105,   19,   40
  356,20230105,   20,   40
  356,20230105,   21,   50
  356,20230105,   22,   60
  356,20230105,   23,   60
  356,20230105,   24,   70
  356,20230106,    1,   60
  356,20230106,    2,   60
  356,20230106,    3,   60
  356,20230106,    4,   60
  356,20230106,    5,   70
  356,20230106,    6,   80
  356,20230106,    7,   80
  356,20230106,    8,   80
  356,20230106,    9,   60
  356,20230106,   10,   50
  356,20230106,   11,   60
  356,20230106,   12,   70
  356,20230106,   13,   60
  356,20230106,   14,   60
  356,20230106,   15,   50
  356,20230106,   16,   40
  356,20230106,   17,   40
  356,20230106,   18,   30
  356,20230106,   19,   40
  356,20230106,   20,   50
  356,20230106,   21,   50
  356,20230106,   22,   50
  356,20230106,   23,   60
  356,20230106,   24,   50
  356,20230107,    1,   50
  356,20230107,    2,   50
  356,20230107,    3,   50
  356,20230107,    4,   50
  356,20230107,    5,   50
  356,20230107,    6,   60
  356,20230107,    7,   60
  356,20230107,    8,   60
  356,20230107,    9,   60
  356,20230107,   10,   60
  356,20230107,   11,   60
  356,20230107,   12,   80
  356,20230107,   13,   80
  356,20230107,   14,   80
  356,20230107,   15,   80
  356,20230107,   16,   70
  356,20230107,   17,   70
  356,20230107,   18,   70
  356,20230107,   19,   60
  356,20230107,   20,   70
  356,20230107,   21,   70
  356,20230107,   22,   70
  356,20230107,   23,   60
  356,20230107,   24,   60
  356,20230108,    1,   60
  356,20230108,    2,   60
  356,20230108,    3,   30
  356,20230108,    4,   40
  356,20230108,    5,   40
  356,20230108,    6,   40
  356,20230108,    7,   40
  356,20230108,    8,   40
  356,20230108,    9,   50
  356,20230108,   10,   50
  356,20230108,   11,   60
  356,20230108,   12,   60
  356,20230108,   13,   60
  356,20230108,   14,   70
  356,20230108,   15,   60
  356,20230108,   16,   50
  356,20230108,   17,   40
  356,20230108,   18,   50
  356,20230108,   19,   50
  356,20230108,   20,   60
  356,20230108,   21,   50
  356,20230108,   22,   50
  356,20230108,   23,   50
  356,20230108,   24,   40
  356,20230109,    1,   40
  356,20230109,    2,   40
  356,20230109,    3,   50
  356,20230109,    4,   50
  356,20230109,    5,   50
  356,20230109,    6,   60
  356,20230109,    7,   60
  356,20230109,    8,   80
  356,20230109,    9,   70
  356,20230109,   10,   70
  356,20230109,   11,   70
  356,20230109,   12,   60
  356,20230109,   13,   70
  356,20230109,   14,   60
  356,20230109,   15,   50
  356,20230109,   16,   40
  356,20230109,   17,   40
  356,20230109,   18,   40
  356,20230109,   19,   30
  356,20230109,   20,   40
  356,20230109,   21,   50
  356,20230109,   22,   50
  356,20230109,   23,   40
  356,20230109,   24,   40
  356,20230110,    1,   40
  356,20230110,    2,   40
  356,20230110,    3,   50
  356,20230110,    4,   60
  356,20230110,    5,   50
  356,20230110,    6,   50
  356,20230110,    7,   50
  356,20230110,    8,   60
  356,20230110,    9,   50
  356,20230110,   10,   50
  356,20230110,   11,   50
  356,20230110,   12,   40
  356,20230110,   13,   60
  356,20230110,   14,   60
  356,20230110,   15,   70
  356,20230110,   16,   80
  356,20230110,   17,   90
  356,20230110,   18,   80
  356,20230110,   19,   80
  356,20230110,   20,   80
  356,20230110,   21,   70
  356,20230110,   22,   70
  356,20230110,   23,   70
  356,20230110,   24,   80
  356,20230111,    1,   80
  356,20230111,    2,   80
  356,20230111,    3,   70
  356,20230111,    4,   70
  356,20230111,    5,   70
  356,20230111,    6,   70
  356,20230111,    7,   70
  356,20230111,    8,   60
  356,20230111,    9,   50
  356,20230111,   10,   60
  356,20230111,   11,   70
  356,20230111,   12,   80
  356,20230111,   13,   90
  356,20230111,   14,  100
  356,20230111,   15,   90
  356,20230111,   16,   70
  356,20230111,   17,   80
  356,20230111,   18,   90
  356,20230111,   19,  100
  356,20230111,   20,   90
  356,20230111,   21,   80
  356,20230111,   22,   90
  356,20230111,   23,  100
  356,20230111,   24,  100
  356,20230112,    1,   80
  356,20230112,    2,   80
  356,20230112,    3,   80
  356,20230112,    4,   90
  356,20230112,    5,  110
  356,20230112,    6,  120
  356,20230112,    7,  120
  356,20230112,    8,  110
  356,20230112,    9,  100
  356,20230112,   10,  100
  356,20230112,   11,  100
