validfrom_utc,volume_kwh,emission_kg,co2_factor_kg_per_kwh,co2_factor_g_per_kwh
2023-12-31 23:00:00+00:00,12235880,903713,0.07385762201002298,73.85762201002298
2024-01-01 00:00:00+00:00,12369942,903172,0.07301343854320416,73.01343854320416
2024-01-01 01:00:00+00:00,12380740,906582,0.0732251868628208,73.22518686282079
2024-01-01 02:00:00+00:00,12461370,903571,0.07250976417520706,72.50976417520707
2024-01-01 03:00:00+00:00,12446451,892445,0.07170276892585686,71.70276892585686
2024-01-01 04:00:00+00:00,12448166,913514,0.07338542882541894,73.38542882541894
2024-01-01 05:00:00+00:00,12135274,918464,0.07568547689982114,75.68547689982114
2024-01-01 06:00:00+00:00,12185026,963555,0.0790769752973855,79.0769752973855
2024-01-01 07:00:00+00:00,12341394,967539,0.07839786980303846,78.39786980303846
2024-01-01 08:00:00+00:00,12448222,980802,0.07879052928201312,78.79052928201313
2024-01-01 09:00:00+00:00,12917688,1010230,0.07820517108014995,78.20517108014995
2024-01-01 10:00:00+00:00,13613845,995126,0.07309661598174505,73.09661598174505
2024-01-01 11:00:00+00:00,13983679,971543,0.0694769237766399,69.47692377663991
2024-01-01 12:00:00+00:00,14528287,972892,0.06696536212424768,66.96536212424768
2024-01-01 13:00:00+00:00,14493559,979428,0.0675767766909425,67.57677669094251
2024-01-01 14:00:00+00:00,13960516,1019177,0.0730042499861753,73.0042499861753
2024-01-01 15:00:00+00:00,11342220,1096512,0.09667525405079429,96.6752540507943
2024-01-01 16:00:00+00:00,10816787,1293570,0.1195891164354073,119.5891164354073
2024-01-01 17:00:00+00:00,10250338,1165094,0.11366395917871196,113.66395917871196
2024-01-01 18:00:00+00:00,9508416,1098126,0.11548989863295843,115.48989863295843
2024-01-01 19:00:00+00:00,9056135,1125646,0.12429651280595971,124.29651280595971
2024-01-01 20:00:00+00:00,9416847,1028041,0.10917040491366166,109.17040491366166
2024-01-01 21:00:00+00:00,9058465,945628,0.10439163809762471,104.3916380976247
2024-01-01 22:00:00+00:00,9188660,920389,0.1001657477804163,100.1657477804163
2024-01-01 23:00:00+00:00,9052559,890959,0.0984206786169524,98.4206786169524
2024-01-02 00:00:00+00:00,9265109,863712,0.0932220009500158,93.2220009500158
2024-01-02 01:00:00+00:00,10232658,889508,0.08692834256749321,86.92834256749322
2024-01-02 02:00:00+00:00,10718119,894235,0.0834320835586916,83.4320835586916
2024-01-02 03:00:00+00:00,11184146,915839,0.081887253617755,81.887253617755
2024-01-02 04:00:00+00:00,11776807,1007657,0.0855628354952238,85.5628354952238
2024-01-02 05:00:00+00:00,11514421,1068170,0.09276801673310364,92.76801673310364
2024-01-02 06:00:00+00:00,12232606,1151476,0.09413170014631388,94.13170014631388
2024-01-02 07:00:00+00:00,12300209,1234889,0.10039577376286858,100.39577376286859
2024-01-02 08:00:00+00:00,12037515,1257697,0.1044814482058797,104.4814482058797
2024-01-02 09:00:00+00:00,11578027,1277840,0.11036768181659967,110.36768181659967
2024-01-02 10:00:00+00:00,11472322,1377119,0.12003838455719774,120.03838455719774
2024-01-02 11:00:00+00:00,11602506,1543576,0.13303815572256544,133.03815572256545
2024-01-02 12:00:00+00:00,11276678,1676096,0.14863384411614838,148.6338441161484
2024-01-02 13:00:00+00:00,11063435,1652580,0.14937313772802027,149.37313772802028
2024-01-02 14:00:00+00:00,11083994,1651710,0.14901758337292495,149.01758337292495
2024-01-02 15:00:00+00:00,11685701,1647430,0.1409782776403401,140.9782776403401
2024-01-02 16:00:00+00:00,12036070,1663310,0.13819377919869194,138.19377919869194
2024-01-02 17:00:00+00:00,12330236,1542651,0.12511123063662366,125.11123063662366
2024-01-02 18:00:00+00:00,10465917,1298866,0.1241043665834537,124.1043665834537
2024-01-02 19:00:00+00:00,9832611,1325437,0.13480010548571483,134.80010548571482
2024-01-02 20:00:00+00:00,9833707,1250814,0.12719659025838373,127.19659025838374
2024-01-02 21:00:00+00:00,9880237,1245771,0.12608715762587477,126.08715762587478
2024-01-02 22:00:00+00:00,10046996,1236341,0.12305578702330527,123.05578702330527
2024-01-02 23:00:00+00:00,8910095,1009079,0.11325120551464378,113.25120551464379
2024-01-03 00:00:00+00:00,8557194,973278,0.11373798467114336,113.73798467114337
2024-01-03 01:00:00+00:00,9307597,905007,0.09723315266013344,97.23315266013344
2024-01-03 02:00:00+00:00,10899388,899792,0.08255435993286962,82.55435993286962
2024-01-03 03:00:00+00:00,11008402,907835,0.08246746439673987,82.46746439673987
2024-01-03 04:00:00+00:00,11399496,931757,0.08173668379724858,81.73668379724857
2024-01-03 05:00:00+00:00,12662140,1020652,0.08060659572552507,80.60659572552507
2024-01-03 06:00:00+00:00,13124835,1118323,0.0852066330738634,85.2066330738634
2024-01-03 07:00:00+00:00,13381641,1244534,0.09300309281948305,93.00309281948304
2024-01-03 08:00:00+00:00,13450428,1266416,0.09415432728237347,94.15432728237347
2024-01-03 09:00:00+00:00,13963972,1295045,0.09274187888660905,92.74187888660904
2024-01-03 10:00:00+00:00,14991364,1314788,0.08770302688934777,87.70302688934777
2024-01-03 11:00:00+00:00,15210441,1279622,0.08412786979680602,84.12786979680602
2024-01-03 12:00:00+00:00,15304279,1299195,0.08489096415453481,84.89096415453481
2024-01-03 13:00:00+00:00,15122720,1372975,0.09078889247436969,90.78889247436969
2024-01-03 14:00:00+00:00,14144661,1625135,0.11489388116123815,114.89388116123816
2024-01-03 15:00:00+00:00,12392829,1844459,0.1488327644963067,148.8327644963067
2024-01-03 16:00:00+00:00,11422520,1978380,0.17319995937849092,173.19995937849092
2024-01-03 17:00:00+00:00,10306561,2019899,0.19598186048673266,195.98186048673267
