validfrom_utc,volume_kwh,emission_kg,co2_factor_kg_per_kwh,co2_factor_g_per_kwh
2024-12-31 23:00:00+00:00,13626758,1053440,0.07730672255278916,77.30672255278915
2025-01-01 00:00:00+00:00,12567367,1008922,0.08028109627100091,80.28109627100092
2025-01-01 01:00:00+00:00,11937461,1022033,0.08561560955047309,85.6156095504731
2025-01-01 02:00:00+00:00,11899610,995426,0.08365198523312949,83.65198523312948
2025-01-01 03:00:00+00:00,11692961,1012556,0.08659534569558558,86.59534569558558
2025-01-01 04:00:00+00:00,11338906,1037003,0.09145529559906397,91.45529559906397
2025-01-01 05:00:00+00:00,11624468,1085019,0.0933392392666916,93.3392392666916
2025-01-01 06:00:00+00:00,12073696,1097835,0.09092783187517725,90.92783187517725
2025-01-01 07:00:00+00:00,11464125,1115277,0.09728409276765562,97.28409276765562
2025-01-01 08:00:00+00:00,11353242,1175122,0.10350541281512364,103.50541281512363
2025-01-01 09:00:00+00:00,11448476,1205442,0.10529279180914561,105.29279180914561
2025-01-01 10:00:00+00:00,11139177,1205908,0.10825826719514377,108.25826719514377
2025-01-01 11:00:00+00:00,11109303,1250697,0.11258105031431764,112.58105031431765
2025-01-01 12:00:00+00:00,11081938,1244984,0.11234352691740379,112.34352691740379
2025-01-01 13:00:00+00:00,11482714,1233787,0.10744733344399242,107.44733344399242
2025-01-01 14:00:00+00:00,12439336,1261655,0.10142462588035246,101.42462588035247
2025-01-01 15:00:00+00:00,14108159,1246236,0.08833441698523528,88.33441698523528
2025-01-01 16:00:00+00:00,14601760,1371733,0.09394299043402987,93.94299043402987
2025-01-01 17:00:00+00:00,13728453,1497351,0.10906917188702908,109.06917188702909
2025-01-01 18:00:00+00:00,13298752,1501990,0.11294217682982584,112.94217682982584
2025-01-01 19:00:00+00:00,12931209,1302771,0.10074626432841663,100.74626432841663
2025-01-01 20:00:00+00:00,13001927,1209975,0.09306120546592825,93.06120546592825
2025-01-01 21:00:00+00:00,13178637,1196025,0.09075483299221308,90.75483299221308
2025-01-01 22:00:00+00:00,13118063,1179774,0.08993507654293167,89.93507654293167
2025-01-01 23:00:00+00:00,12718061,1380178,0.10852110239131578,108.52110239131578
2025-01-02 00:00:00+00:00,12140342,1808758,0.14898740084916884,148.98740084916884
2025-01-02 01:00:00+00:00,9961972,2072877,0.2080789827556231,208.0789827556231
2025-01-02 02:00:00+00:00,8956678,2091580,0.2335218481673674,233.5218481673674
