validfrom_utc,volume_kwh,emission_kg,co2_factor_kg_per_kwh,co2_factor_g_per_kwh
2023-04-02 13:00:00+00:00,21778266,1577078,0.0724152235076934,72.4152235076934
2023-04-02 14:00:00+00:00,19768850,1592745,0.08056841950846913,80.56841950846913
2023-04-02 15:00:00+00:00,17639354,1737240,0.09848659990609633,98.48659990609633
2023-04-02 16:00:00+00:00,15629003,2196955,0.14056910731925767,140.56910731925768
2023-04-02 17:00:00+00:00,13199979,2702033,0.20469979535573504,204.69979535573503
2023-04-02 18:00:00+00:00,10745458,2771156,0.25789091539885967,257.89091539885965
2023-04-02 19:00:00+00:00,9615283,2622603,0.27275359445998626,272.75359445998623
2023-04-02 20:00:00+00:00,9029070,2547058,0.28209527670070117,282.09527670070116
2023-04-02 21:00:00+00:00,8741746,2501808,0.2861908822333662,286.1908822333662
2023-04-02 22:00:00+00:00,8061875,2296350,0.28484068532444373,284.8406853244437
2023-04-02 23:00:00+00:00,7923599,2307494,0.2912179175145032,291.2179175145032
2023-04-03 00:00:00+00:00,8170882,2416154,0.2957029608309115,295.70296083091154
2023-04-03 01:00:00+00:00,8028830,2536387,0.3159099146450977,315.90991464509773
2023-04-03 02:00:00+00:00,7929385,2611803,0.32938279576537144,329.38279576537144
2023-04-03 03:00:00+00:00,8430009,2834012,0.3361813729973479,336.1813729973479
2023-04-03 04:00:00+00:00,9174313,3142249,0.34250510092690317,342.5051009269032
2023-04-03 05:00:00+00:00,9813041,3357291,0.3421254430711132,342.1254430711132
2023-04-03 06:00:00+00:00,11802763,3377982,0.2862026459397685,286.2026459397685
2023-04-03 07:00:00+00:00,15126135,3228323,0.21342682714388045,213.42682714388044
2023-04-03 08:00:00+00:00,18096210,2804572,0.15498118114234968,154.98118114234967
2023-04-03 09:00:00+00:00,20210345,2371042,0.11731823479510123,117.31823479510123
2023-04-03 10:00:00+00:00,22726233,2260161,0.09945163371333912,99.45163371333912
2023-04-03 11:00:00+00:00,23956101,2204702,0.0920309193887603,92.03091938876031
2023-04-03 12:00:00+00:00,24200758,2238514,0.09249768127097506,92.49768127097506
2023-04-03 13:00:00+00:00,23132803,2257781,0.09760083981175995,97.60083981175994
2023-04-03 14:00:00+00:00,21037807,2357475,0.11205897078531046,112.05897078531046
2023-04-03 15:00:00+00:00,19118187,2715235,0.1420236657377606,142.0236657377606
2023-04-03 16:00:00+00:00,17175227,3227955,0.1879424941516057,187.9424941516057
2023-04-03 17:00:00+00:00,14393351,3484292,0.2420764976828537,242.0764976828537
2023-04-03 18:00:00+00:00,12225232,3649092,0.2984885685604985,298.4885685604985
2023-04-03 19:00:00+00:00,11457010,3644749,0.31812392587594845,318.12392587594843
2023-04-03 20:00:00+00:00,11340948,3725559,0.3285050773533218,328.5050773533218
2023-04-03 21:00:00+00:00,11063710,3680234,0.3326401360845503,332.6401360845503
2023-04-03 22:00:00+00:00,10540608,3629598,0.344344273119729,344.344273119729
2023-04-03 23:00:00+00:00,10326656,3665659,0.3549705732426838,354.97057324268377
2023-04-04 00:00:00+00:00,9797638,3580488,0.36544399782886444,365.44399782886444
2023-04-04 01:00:00+00:00,9668420,3611111,0.373495462547138,373.495462547138
2023-04-04 02:00:00+00:00,10011583,3800277,0.3795880231927359,379.5880231927359
2023-04-04 03:00:00+00:00,10770799,4145304,0.38486504111719105,384.865041117191
