validfrom_utc,volume_kwh,emission_kg,co2_factor_kg_per_kwh,co2_factor_g_per_kwh
2022-12-31 23:00:00+00:00,10927748,1552968,0.1421123547138898,142.1123547138898
2023-01-01 00:00:00+00:00,10856914,1523569,0.1403316817283438,140.3316817283438
2023-01-01 01:00:00+00:00,10795746,1511935,0.14004914528370713,140.04914528370713
2023-01-01 02:00:00+00:00,10749906,1514511,0.14088597611923304,140.88597611923305
2023-01-01 03:00:00+00:00,10779230,1502418,0.13938082775856903,139.380827758569
2023-01-01 04:00:00+00:00,10853524,1523539,0.14037274897996263,140.37274897996264
2023-01-01 05:00:00+00:00,10952135,1541122,0.14071429908415117,140.71429908415118
2023-01-01 06:00:00+00:00,11468080,1604974,0.1399514129653787,139.9514129653787
2023-01-01 07:00:00+00:00,11581468,1637926,0.14142645820029032,141.4264582002903
2023-01-01 08:00:00+00:00,11628616,1664035,0.14309828443900804,143.09828443900804
2023-01-01 09:00:00+00:00,12032331,1652715,0.13735617811710799,137.356178117108
2023-01-01 10:00:00+00:00,13355380,1641423,0.12290350405604333,122.90350405604333
2023-01-01 11:00:00+00:00,14085981,1635308,0.11609471857160676,116.09471857160676
2023-01-01 12:00:00+00:00,13735337,1649538,0.1200944687414659,120.0944687414659
2023-01-01 13:00:00+00:00,12644401,1673695,0.13236649169857867,132.36649169857867
2023-01-01 14:00:00+00:00,10636245,1692409,0.15911715083659694,159.11715083659695
2023-01-01 15:00:00+00:00,8817062,1730904,0.1963130122029311,196.3130122029311
2023-01-01 16:00:00+00:00,7809279,1846277,0.2364209295121867,236.42092951218672
2023-01-01 17:00:00+00:00,7804668,1932887,0.24765781196586453,247.65781196586454
2023-01-01 18:00:00+00:00,7599256,1871730,0.2463043750598743,246.3043750598743
2023-01-01 19:00:00+00:00,7639342,1798030,0.23536451176030607,235.36451176030607
2023-01-01 20:00:00+00:00,7499289,1826212,0.2435180188415195,243.5180188415195
2023-01-01 21:00:00+00:00,6836653,1859693,0.2720180474275936,272.0180474275936
2023-01-01 22:00:00+00:00,6657068,1824319,0.2740424162709469,274.0424162709469
2023-01-01 23:00:00+00:00,6773600,1759210,0.25971566080075587,259.71566080075587
2023-01-02 00:00:00+00:00,6754567,1824246,0.2700759352894123,270.0759352894123
2023-01-02 01:00:00+00:00,6882685,1818204,0.26417074150567693,264.1707415056769
2023-01-02 02:00:00+00:00,7032466,1723625,0.2450953904362993,245.0953904362993
2023-01-02 03:00:00+00:00,7519824,1780171,0.23673040752017602,236.73040752017602
2023-01-02 04:00:00+00:00,8204412,1849005,0.225367156110639,225.367156110639
